release_id,file_key,srl,field_name,name,block,item,length,byte_start,byte_end,remarks
annual_2022_23,hhv1,1,file_id,File Identification,,,4,1,4,FVH6
annual_2022_23,hhv1,2,sch,Schdule,1,2,3,5,7,104
annual_2022_23,hhv1,3,qtr,Quarter,,,2,8,9,Q5 to Q8
annual_2022_23,hhv1,4,visit,Visit,,,2,10,11,V1' for first visit
annual_2022_23,hhv1,5,sec,Sector,1,3,1,12,12,
annual_2022_23,hhv1,6,st,State/Ut Code,,1,2,13,14,
annual_2022_23,hhv1,7,dc,District Code,1,4,2,15,16,
annual_2022_23,hhv1,8,nss_reg,NSS-Region,1,4,3,17,19,
annual_2022_23,hhv1,9,strm,Stratum,1,5,2,20,21,
annual_2022_23,hhv1,10,sstrm,Sub-Stratum,1,6,2,22,23,
annual_2022_23,hhv1,11,ss,Sub-Sample,1,11,1,24,24,
annual_2022_23,hhv1,12,sro,Fod Sub-Region,1,12,4,25,28,
annual_2022_23,hhv1,13,mfsu,FSU,1,1,5,29,33,
annual_2022_23,hhv1,14,seg,Sample Sg/Sb No.,1,13,1,34,34,
annual_2022_23,hhv1,15,sss,Second Stage Stratum No.,1,14,1,35,35,
annual_2022_23,hhv1,16,ssu,Sample Household Number,1,15,2,36,37,
annual_2022_23,hhv1,17,smonth,Month of Survey,1,9,2,38,39,
annual_2022_23,hhv1,18,resp_code,Response Code,1,17,1,40,40,
annual_2022_23,hhv1,19,svc,Survey Code,1,18,1,41,41,
annual_2022_23,hhv1,20,rsr,Reason for Substitution of original household,1,19,1,42,42,
annual_2022_23,hhv1,21,hh_size,Household Size,3,1,2,43,44,
annual_2022_23,hhv1,22,hh_type,Household Type,3,2,1,45,45,
annual_2022_23,hhv1,23,religion,Religion,3,3,1,46,46,
annual_2022_23,hhv1,24,social_grp,Social Group,3,4,1,47,47,
annual_2022_23,hhv1,25,hce1,Household's usual consumer Expenditure in A Month for purposes out of Goods and Services(Rs.),3,5.1,8,48,55,
